features,importances
job_blue-collar,68
job_entrepreneur,22
job_housemaid,53
job_management,13
job_retired,26
job_self-employed,24
job_services,44
job_student,15
job_technician,58
job_unemployed,15
marital_married,57
marital_single,54
housing_yes,74
loan_yes,53
contact_telephone,114
month_aug,11
month_dec,0
month_jul,15
month_jun,16
month_mar,18
month_may,1
month_nov,11
month_oct,58
month_sep,0
day_of_week_mon,83
day_of_week_thu,42
day_of_week_tue,59
day_of_week_wed,61
education,245
poutcome,149
age,710
campaign,359
pdays,114
previous,10
emp.var.rate,43
cons.price.idx,44
cons.conf.idx,77
euribor3m,610
nr.employed,74
